Name,Rating,Customers,Price
"Gionee P7 (Gold, 16 GB)",3.7,704,9999
"Vivo Y91i (Ocean Blue, 16 GB)",4.3,"14,351",9999
"Vivo Y81 (Black, 32 GB)",4.4,"48,946",9999
"Mobiistar X1 Dual (Black, 32 GB)",3.8,305,9999
"Coolpad Note 3S (Gold, 32 GB)",3.8,"1,009",9999
"Nokia 3 (Silver White, 16 GB)",3.9,"8,060",9999
"Moto E4 Plus (Iron Gray, 32 GB)",4.1,"4,75,629",9999
"Nokia 3.1 (Black, 16 GB)",4,93,9999
"Coolpad Note 3S (White, 32 GB)",3.8,"1,009",9999
"Lenovo K3 Note (Yellow, 16 GB)",4,"2,18,169",9999
"Nokia X5-01 (Black, 200 MB)",2.5,6,9999
"LG W10 (Smokey Gray, 32 GB)",3.7,78,9999
"Lava Z93 (Royal Blue, 32 GB)",4.1,38,9999
"Lava Z93 (Charcoal Blue, 32 GB)",4.1,38,9999
"InFocus Turbo 5s (Volcanics Gray, 32 GB)",3.9,"2,117",9999
"Alcatel 3X (Blue, 32 GB)",3.7,60,9999
"Alcatel 3X (Black, 32 GB)",3.7,60,9999
"Tecno Camon i (Midnight Black, 32 GB)",4,"1,053",9993
Micromax X773,3.8,279,1499
I Kall K31 Pack of Three Mobiles,3.7,9,1497
